iter	Passed	Remaining
0	9	9344
1	17	8921
2	26	8845
3	35	8854
4	44	8781
5	51	8581
6	59	8475
7	67	8329
8	75	8270
9	82	8204
10	90	8120
11	98	8070
12	105	8019
13	113	7969
14	120	7919
15	128	7873
16	135	7826
17	142	7793
18	150	7765
19	157	7730
20	165	7700
21	172	7675
22	180	7646
23	187	7624
24	194	7600
25	202	7576
26	209	7556
27	216	7532
28	224	7512
29	231	7499
30	239	7483
31	246	7465
32	254	7454
33	261	7442
34	269	7428
35	276	7406
36	284	7394
37	292	7413
38	304	7509
39	317	7629
40	327	7668
41	338	7719
42	350	7808
43	360	7832
44	376	7992
45	389	8079
46	406	8250
47	426	8459
48	443	8613
49	460	8751
50	479	8918
51	497	9073
52	514	9196
53	527	9238
54	540	9278
55	550	9279
56	558	9238
57	565	9191
58	574	9159
59	581	9115
60	589	9071
61	596	9029
62	604	8987
63	611	8948
64	619	8905
65	626	8868
66	634	8830
67	641	8792
68	648	8755
69	656	8719
70	665	8702
71	672	8668
72	680	8635
73	687	8603
74	695	8574
75	702	8541
76	709	8507
77	717	8479
78	724	8449
79	732	8419
80	739	8390
81	746	8361
82	754	8331
83	761	8302
84	768	8273
85	775	8246
86	783	8217
87	791	8203
88	798	8176
89	806	8150
90	813	8124
91	821	8105
92	828	8080
93	835	8055
94	842	8030
95	850	8007
96	857	7983
97	864	7961
98	872	7938
99	879	7916
100	886	7893
101	894	7873
102	901	7853
103	909	7832
104	916	7811
105	924	7793
106	931	7774
107	940	7767
108	953	7795
109	966	7821
110	980	7849
111	991	7860
112	1002	7865
113	1014	7881
114	1027	7907
115	1037	7903
116	1048	7915
117	1061	7931
118	1071	7935
119	1081	7931
120	1094	7948
121	1106	7963
122	1119	7980
123	1131	7994
124	1143	8005
125	1154	8004
126	1163	7999
127	1176	8013
128	1188	8026
129	1197	8015
130	1210	8027
131	1222	8041
132	1231	8028
133	1243	8034
134	1255	8045
135	1265	8036
136	1276	8038
137	1288	8048
138	1298	8042
139	1309	8043
140	1319	8037
141	1326	8017
142	1334	7997
143	1342	7979
144	1349	7958
145	1356	7937
146	1364	7917
147	1373	7906
148	1380	7886
149	1388	7866
150	1395	7846
151	1406	7844
152	1413	7824
153	1420	7804
154	1427	7784
155	1435	7765
156	1442	7746
157	1449	7726
158	1457	7710
159	1464	7691
160	1472	7673
161	1479	7655
162	1487	7637
163	1495	7621
164	1502	7604
165	1510	7587
166	1517	7569
167	1526	7558
168	1536	7553
169	1548	7562
170	1559	7560
171	1572	7569
172	1585	7577
173	1595	7574
174	1606	7574
175	1619	7580
176	1631	7587
177	1644	7595
178	1656	7598
179	1669	7606
180	1679	7599
181	1696	7624
182	1709	7630
183	1726	7655
184	1743	7681
185	1758	7696
186	1768	7690
187	1779	7687
188	1792	7690
189	1802	7682
190	1812	7678
191	1825	7680
192	1835	7673
193	1844	7665
194	1857	7667
195	1866	7657
196	1876	7650
197	1889	7652
198	1896	7634
199	1909	7636
200	1921	7639
201	1929	7621
202	1941	7621
203	1953	7620
204	1961	7607
205	1973	7608
206	1984	7601
207	1993	7591
208	2003	7581
209	2010	7563
210	2018	7547
211	2025	7529
212	2032	7511
213	2040	7493
214	2047	7476
215	2055	7459
216	2063	7444
217	2070	7427
218	2077	7409
219	2085	7393
220	2094	7382
221	2101	7366
222	2109	7349
223	2116	7333
224	2124	7317
225	2131	7301
226	2139	7285
227	2147	7269
228	2154	7253
229	2162	7238
230	2170	7226
231	2181	7221
232	2198	7235
233	2214	7248
234	2230	7260
235	2249	7280
236	2261	7279
237	2277	7291
238	2294	7307
239	2312	7322
240	2329	7337
241	2350	7360
242	2369	7381
243	2378	7368
244	2386	7355
245	2394	7340
246	2402	7324
247	2410	7309
248	2417	7292
249	2425	7275
250	2433	7261
251	2441	7246
252	2449	7231
253	2457	7217
254	2465	7202
255	2472	7186
256	2480	7171
257	2487	7155
258	2495	7139
259	2503	7125
260	2510	7109
261	2518	7094
262	2526	7078
263	2533	7063
264	2542	7052
265	2550	7037
266	2558	7023
267	2566	7010
268	2574	6996
269	2581	6980
270	2589	6966
271	2597	6951
272	2605	6937
273	2613	6925
274	2621	6912
275	2629	6897
276	2637	6883
277	2644	6868
278	2652	6854
279	2660	6840
280	2667	6825
281	2675	6811
282	2682	6797
283	2690	6783
284	2698	6768
285	2705	6754
286	2713	6741
287	2721	6727
288	2734	6726
289	2742	6714
290	2750	6701
291	2758	6688
292	2768	6681
293	2778	6673
294	2788	6663
295	2796	6650
296	2803	6636
297	2812	6624
298	2819	6611
299	2827	6597
300	2835	6583
301	2843	6571
302	2850	6557
303	2858	6543
304	2865	6529
305	2872	6515
306	2880	6501
307	2887	6488
308	2895	6475
309	2903	6462
310	2910	6448
311	2918	6435
312	2925	6421
313	2933	6408
314	2940	6395
315	2948	6382
316	2956	6369
317	2963	6356
318	2971	6343
319	2979	6330
320	2986	6317
321	2994	6304
322	3001	6290
323	3008	6277
324	3017	6266
325	3025	6254
326	3032	6241
327	3039	6228
328	3047	6215
329	3055	6203
330	3063	6191
331	3070	6178
332	3078	6166
333	3086	6153
334	3093	6141
335	3101	6128
336	3108	6116
337	3116	6103
338	3123	6090
339	3131	6079
340	3139	6066
341	3146	6053
342	3154	6041
343	3161	6029
344	3169	6017
345	3176	6004
346	3184	5992
347	3191	5979
348	3199	5967
349	3206	5955
350	3214	5943
351	3222	5931
352	3229	5919
353	3237	5908
354	3245	5896
355	3252	5884
356	3262	5876
357	3270	5864
358	3278	5854
359	3288	5845
360	3295	5833
361	3305	5825
362	3314	5816
363	3322	5805
364	3331	5795
365	3339	5785
366	3348	5775
367	3357	5766
368	3365	5755
369	3373	5744
370	3382	5735
371	3390	5724
372	3399	5714
373	3408	5704
374	3417	5695
375	3426	5685
376	3434	5675
377	3442	5664
378	3450	5654
379	3459	5643
380	3467	5633
381	3476	5624
382	3485	5614
383	3492	5603
384	3501	5593
385	3509	5582
386	3518	5573
387	3527	5564
388	3535	5553
389	3543	5541
390	3550	5529
391	3558	5518
392	3565	5507
393	3572	5495
394	3580	5483
395	3587	5472
396	3595	5460
397	3602	5448
398	3609	5437
399	3617	5426
